id;nom;ligne;terminus;zone
0308;Rue du Bac;12;False 0;0
0309;Réaumur Sébastopol;3;False 0;0
0310;Réaumur Sébastopol;4;False 0;0
0311;République;11;False 0;0
0312;République;3;False 0;0
0313;République;5;False 0;0
0314;République;8;False 0;0
0315;République;9;False 0;0
0316;Saint-Ambroise;9;False 0;0
0317;Saint-Augustin;9;False 0;0
0318;Saint-Denis-Porte de Paris;13;False 1;0
0319;Saint-Denis-Université;13;True 1;0
0320;Saint-Fargeau;3bis;False 0;0
0321;Saint-Francois Xavier;13;False 0;0
0322;Saint-Georges;12;False 0;0
0323;Saint-Germain-des-Prés;4;False 0;0
0324;Saint-Jacques;6;False 0;0
0325;Saint-Lazare;12;False 0;0
0326;Saint-Lazare;13;False 0;0
0327;Saint-Lazare;3;False 0;0
0328;Saint-Mandé, Tourelle;1;False 0;0
0329;Saint-Marcel;5;False 0;0
0330;Saint-Michel;4;False 0;0
0331;Saint-Paul, Le Marais;1;False 0;0
0332;Saint-Philippe du Roule;9;False 0;0
0333;Saint-Placide;4;False 0;0
0334;Saint-Sulpice;4;False 0;0
0335;Saint-Sébastien-Froissart;8;False 0;0
0336;Sentier;3;False 0;0
0337;Simplon;4;False 0;0
0338;Solférino;12;False 0;0
0339;Stalingrad;2;False 0;0
0340;Stalingrad;5;False 0;0
0341;Stalingrad;7;False 0;0
0342;Strasbourg Saint-Denis;4;False 0;0
0343;Strasbourg Saint-Denis;8;False 0;0
0344;Strasbourg Saint-Denis;9;False 0;0
0345;Sully Morland;7;False 0;0
0346;Sèvres Babylone;10;False 0;0
0347;Sèvres Babylone;12;False 0;0
0348;Sèvres Lecourbe;6;False 0;0
0349;Ségur;10;False 0;0
0350;Temple;3;False 0;0
0351;Ternes;2;False 0;0
0352;Tolbiac;7;False  0;0
0353;Trinité d'Estienne d'Orves;12;False 0;0
0354;Trocadéro;6;False 0;0
0355;Trocadéro;9;False 0;0
0356;Tuileries;1;False 0;0
0357;Télégraphe;11;False 0;0
0358;Vaneau;10;False 0;0
0359;Varenne;13;False 0;0
0360;Vaugirard;12;False 0;0
0361;Vavin;4;False 0;0
0362;Victor Hugo;2;False 0;0
0363;Villejuif, Louis Aragon;7;True 2;0
0364;Villejuif, Léo Lagrange;7;False 2;0
0365;Villejuif, P. Vaillant Couturier;7;False 2;0
0366;Villiers;2;False 0;0
0367;Villiers;3;False 0;0
0368;Volontaires;12;False 0;0
0369;Voltaire;9;False 0;0
0370;Wagram;3;False 0;0
0371;École Militaire;8;False 0;0
0372;École Vétérinaire de Maisons-Alfort;8;False 0;0
0373;Église d'Auteuil;10;False 0;0
0374;Église de Pantin;5;False 0;0
0375;Étienne Marcel;4;False 0;0
